# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_594	Fmo5 (+109)
peak_595	Fam46c (+267)
peak_596	Trim45 (-727)
peak_597	Tspan2 (+172)
peak_598	Sycp1 (+232)
peak_599	Wnt2b (-241)
peak_600	Dennd2d (-3401)
peak_601	Slc6a17 (+106)
peak_602	Csf1 (+983)
peak_603	Slc25a24 (-372)
peak_604	Vav3 (+231)
peak_605	Vcam1 (-122104), Gpr88 (+1711)
peak_606	Plppr4 (+963)
peak_607	Plppr5 (+431)
peak_608	Slc44a3 (+597)
peak_609	Arhgap29 (+810)
peak_610	Synpo2 (-317)
peak_611	Prss12 (-540)
peak_612	Tram1l1 (+418)
peak_613	Ank2 (-90105), Larp7 (+54185)
peak_614	Col25a1 (+301)
peak_615	Cyp2u1 (+115)
peak_616	Sgms2 (-145371), Papss1 (-74464)
peak_617	Npnt (-758)
peak_618	Tacr3 (-590871), Cxxc4 (+1645)
peak_619	Slc39a8 (-9)
peak_620	Stpg2 (-151)
peak_621	Gbp7 (+377)
peak_622	Mcoln2 (+319)
peak_623	Lpar3 (+10)
peak_624	Samd13 (-239)
peak_625	Adgrl4 (-3)
peak_626	Wls (+1093)
peak_627	Clvs1 (+134)
peak_628	Triqk (+478)
peak_629	Cpne3 (-4974), Rmdn1 (-125)
peak_630	Ttpa (-256)
peak_631	Faxc (+125)
peak_632	Klhl32 (+533)
peak_633	Mob3b (+443)
peak_634	Tmem215 (+1245), Aptx (+229489)
peak_635	Enho (+805)
peak_636	Phf24 (+337)
peak_637	Unc13b (-13257), Fam214b (-5528)
peak_638	Atp8b5 (-206595), Unc13b (+1502)
peak_639	Igfbpl1 (-97)
peak_640	Stra6l (-3860)
peak_641	Tmod1 (-65157), Tdrd7 (+8444)
peak_642	Tmod1 (+856)
peak_643	Anks6 (+502)
peak_644	Stx17 (+199)
peak_645	Tmem246 (+516)
peak_646	Slc44a1 (-274575), Abca1 (-5943)
peak_647	Tal2 (-46)
peak_648	Frrs1l (-113)
peak_649	Palm2 (+252)
peak_650	Akap2 (-285919), Palm2 (+133993)
peak_651	Svep1 (+333)
peak_652	Zkscan16 (+494)
peak_653	Gng10 (+348)
peak_654	Hsdl2 (-584)
peak_655	Col27a1 (-456)
peak_656	Rasef (-210)
peak_657	Frmd3 (+405)
peak_658	Slc24a2 (-1549)
peak_659	Cdkn2a (+19528), Mtap (+138003)
peak_660	Cdkn2a (-14642), Cdkn2b (+1737)
peak_661	Dmrta1 (+267)
peak_662	Cyp2j9 (+120)
peak_663	Patj (+298)
peak_664	Kank4 (-181)
peak_665	Ube2u (-382004), Ror1 (+1054)
peak_666	Dnajc6 (-54194), Ak4 (+77111)
peak_667	Dnajc6 (-41745), Ak4 (+89560)
peak_668	Sgip1 (-545)
peak_669	Dab1 (-747372), Oma1 (+306406)
peak_670	Fyb2 (+234)
peak_671	Pcsk9 (+519)
peak_672	Ttc22 (+112)
peak_673	Rab3b (+830)
peak_674	Elavl4 (-64458), Agbl4 (-46444)
peak_675	Cyp4x1 (-176)
peak_676	6430628N08Rik (-57)
peak_677	Lurap1 (+437)
peak_678	Tmem53 (-196), Gm1661 (+71)
peak_679	Mfsd2a (+54)
peak_680	Bmp8b (+246)
peak_681	Heyl (-273)
peak_682	Pabpc4 (-43742), Heyl (+5613)
peak_683	4933427I04Rik (-50025), Rhbdl2 (+21779)
peak_684	Col8a2 (+1434), Adprhl2 (+33476)
peak_685	5730409E04Rik (-225)
peak_686	Gja4 (+880)
peak_687	Zscan20 (-6450), Tlr12 (+2071)
peak_688	Fndc5 (-352)
peak_689	Sdc3 (-126)
peak_690	Ptpru (+964)
peak_691	Oprd1 (+689)
peak_692	Themis2 (+422)
peak_693	Ncmap (+559)
peak_694	Ifnlr1 (-634)
peak_695	Il22ra1 (-737)
peak_696	Htr1d (+858)
peak_697	Wnt4 (+513)
peak_698	Ldlrad2 (-3671)
peak_699	Pla2g2c (+447)
peak_700	Pla2g5 (+3547), Pla2g2d (+84200)
peak_701	Htr6 (+666)
peak_702	Tnfrsf8 (+335)
peak_703	Lrrd1 (+467)
peak_704	Gtpbp10 (-14577), Cfap69 (+90124)
peak_705	Zfp804b (+66)
peak_706	Adam22 (+323)
peak_707	9330182L06Rik (-167)
peak_708	Sema3c (+727)
peak_709	Gsap (+193)
peak_710	Reln (-457)
peak_711	Dpp6 (-231263), Gm7361 (+560245)
peak_712	Dpp6 (+387)
peak_713	Dpp6 (+212288), Speer4b (+239951)
peak_714	Selenoi (+121)
peak_715	Gm1673 (-11)
peak_716	Dok7 (+613)
peak_717	Man2b2 (+300)
peak_718	Otop1 (-109)
peak_719	Drd5 (-149)
peak_720	Cd38 (+634)
peak_721	Prom1 (+988)
peak_722	Fam184b (+119)
peak_723	Ccdc149 (-2315)
peak_724	Pi4k2b (+129)
peak_725	Nwd2 (+643)
peak_726	Slc10a4 (+102)
peak_727	Ociad2 (+213)
peak_728	Cwh43 (+25)
peak_729	Nmu (-630)
peak_730	Hopx (-132)
peak_731	Igfbp7 (-233)
peak_732	Rassf6 (-70)
peak_733	Areg (+65)
peak_734	Cxcl10 (-43697), Nup54 (+42640)
peak_735	Stbd1 (+202)
peak_736	Ccdc158 (-800)
