# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_744	Hdac9 (-204762)
peak_745	Ahr (+30685)
peak_746	Agr3 (-70847)
peak_747	Lrrc72 (+19137)
peak_748	Sostdc1 (-28830)
peak_749	Sostdc1 (+29120)
peak_750	D630036H23Rik (-103143)
peak_751	Meox2 (-156554)
peak_752	Meox2 (+52707)
peak_753	Dgkb (-36027)
peak_754	Etv1 (-252531)
peak_755	Arl4a (+498260)
peak_756	Arl4a (+471484)
peak_757	Arl4a (+208728)
peak_758	Arl4a (+137740)
peak_759	NONE
peak_760	NONE
peak_761	NONE
peak_762	NONE
peak_763	NONE
peak_764	Dnajb9 (+479595)
peak_765	Dnajb9 (+461458)
peak_766	Dnajb9 (+281112)
peak_767	Dnajb9 (-20789)
peak_768	Nrcam (+154253)
peak_769	Stxbp6 (+337060)
peak_770	Stxbp6 (-121536)
peak_771	Nova1 (+856189)
peak_772	Nova1 (+773983)
peak_773	Nova1 (-766705)
peak_774	NONE
peak_775	NONE
peak_776	Foxg1 (-957530)
peak_777	Foxg1 (-372739)
peak_778	Foxg1 (-325240)
peak_779	Foxg1 (-189911)
peak_780	Gm43517 (+316849)
peak_781	G2e3 (-180049)
peak_782	Hectd1 (-47737)
peak_783	Nubpl (+18479)
peak_784	Akap6 (+164301)
peak_785	Npas3 (-215192)
peak_786	Egln3 (+57015)
peak_787	Cfl2 (-27205)
peak_788	Ppp2r3c (-8583)
peak_789	Nkx2-9 (+28681)
peak_790	Sstr1 (-269649)
peak_791	Sstr1 (-55155)
peak_792	Sstr1 (-17687)
peak_793	Clec14a (-230679)
peak_794	Sec23a (+242111)
peak_795	Sec23a (+153261)
peak_796	Fbxo33 (-278769)
peak_797	NONE
peak_798	NONE
peak_799	Lrfn5 (-369300)
peak_800	Lrfn5 (-154019)
peak_801	Lrfn5 (+104886)
peak_802	Lrfn5 (+181519)
peak_803	Lrfn5 (+239649)
peak_804	Lrfn5 (+652732)
peak_805	NONE
peak_806	Fscb (+782957)
peak_807	Fscb (+565463)
peak_808	Mdga2 (-765564)
peak_809	Rps29 (+752616)
peak_810	Rps29 (+717955)
peak_811	Vcpkmt (+92963)
peak_812	Tmx1 (+87047)
