# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 5000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_3359	Kcnk2 (-285)
Anti-GFP.mLb.mkD.sorted_peak_3384	Prox1 (-1243)
Anti-GFP.mLb.mkD.sorted_peak_3395	Vash2 (+1321)
Anti-GFP.mLb.mkD.sorted_peak_3399	Batf3 (-261)
Anti-GFP.mLb.mkD.sorted_peak_3437	Traf5 (-21)
Anti-GFP.mLb.mkD.sorted_peak_3440	Kcnh1 (+301)
Anti-GFP.mLb.mkD.sorted_peak_3450	Hhat (+53)
Anti-GFP.mLb.mkD.sorted_peak_3472	Cd34 (+60)
Anti-GFP.mLb.mkD.sorted_peak_3477	Cr2 (+109)
Anti-GFP.mLb.mkD.sorted_peak_3482	Ppp1r14c (+678)
Anti-GFP.mLb.mkD.sorted_peak_3486	Plekhg1 (+499)
Anti-GFP.mLb.mkD.sorted_peak_3491	Mthfd1l (-100085)
Anti-GFP.mLb.mkD.sorted_peak_3544	Ccdc170 (-26378)
Anti-GFP.mLb.mkD.sorted_peak_3546	Esr1 (+100176)
Anti-GFP.mLb.mkD.sorted_peak_3556	Syne1 (+685)
Anti-GFP.mLb.mkD.sorted_peak_3561	Rgs17 (-25)
Anti-GFP.mLb.mkD.sorted_peak_3591	Zc3h12d (+9)
Anti-GFP.mLb.mkD.sorted_peak_3607	Ust (+81)
Anti-GFP.mLb.mkD.sorted_peak_3622	Samd5 (-169)
Anti-GFP.mLb.mkD.sorted_peak_3630	Rab32 (+401)
Anti-GFP.mLb.mkD.sorted_peak_3637	Grm1 (+1318)
Anti-GFP.mLb.mkD.sorted_peak_3642	Epm2a (-725)
Anti-GFP.mLb.mkD.sorted_peak_3673	Stx11 (-253)
Anti-GFP.mLb.mkD.sorted_peak_3677	Sf3b5 (-1589)
Anti-GFP.mLb.mkD.sorted_peak_3681	Plagl1 (+11)
Anti-GFP.mLb.mkD.sorted_peak_3685	Phactr2 (+265)
Anti-GFP.mLb.mkD.sorted_peak_3686	Fuca2 (-27228)
Anti-GFP.mLb.mkD.sorted_peak_3687	Fuca2 (+177)
Anti-GFP.mLb.mkD.sorted_peak_3693	Aig1 (-42)
Anti-GFP.mLb.mkD.sorted_peak_3695	Hivep2 (-293)
Anti-GFP.mLb.mkD.sorted_peak_3699	Adgrg6 (+368)
Anti-GFP.mLb.mkD.sorted_peak_3702	Nmbr (-15)
Anti-GFP.mLb.mkD.sorted_peak_3758	Nhsl1 (+229)
Anti-GFP.mLb.mkD.sorted_peak_3773	Hebp2 (+30)
Anti-GFP.mLb.mkD.sorted_peak_3778	Arfgef3 (+431)
Anti-GFP.mLb.mkD.sorted_peak_3781	Tnfaip3 (+623)
Anti-GFP.mLb.mkD.sorted_peak_3786	Olig3 (-1106)
Anti-GFP.mLb.mkD.sorted_peak_3791	Il20ra (+172)
Anti-GFP.mLb.mkD.sorted_peak_3794	Slc35d3 (+796)
Anti-GFP.mLb.mkD.sorted_peak_3852	Aldh8a1 (-2753)
Anti-GFP.mLb.mkD.sorted_peak_3866	Sgk1 (+1104)
Anti-GFP.mLb.mkD.sorted_peak_3886	Raet1e (+14604)
Anti-GFP.mLb.mkD.sorted_peak_3896	Slc2a12 (-372)
Anti-GFP.mLb.mkD.sorted_peak_3905	Eya4 (+721)
Anti-GFP.mLb.mkD.sorted_peak_3914	Slc18b1 (+450)
Anti-GFP.mLb.mkD.sorted_peak_3920	Moxd1 (+248)
Anti-GFP.mLb.mkD.sorted_peak_3932	Enpp1 (-21)
Anti-GFP.mLb.mkD.sorted_peak_3951	Akap7 (+99963)
Anti-GFP.mLb.mkD.sorted_peak_3976	Tmem200a (+553)
Anti-GFP.mLb.mkD.sorted_peak_3980	L3mbtl3 (-712)
Anti-GFP.mLb.mkD.sorted_peak_4010	Rspo3 (+1071)
Anti-GFP.mLb.mkD.sorted_peak_4030	Hey2 (-699)
Anti-GFP.mLb.mkD.sorted_peak_4038	Rnf217 (+595)
Anti-GFP.mLb.mkD.sorted_peak_4055	Clvs2 (-111)
Anti-GFP.mLb.mkD.sorted_peak_4062	Trappc3l (-3746)
Anti-GFP.mLb.mkD.sorted_peak_4063	Fam26e (+158)
Anti-GFP.mLb.mkD.sorted_peak_4065	Fam26f (-265)
Anti-GFP.mLb.mkD.sorted_peak_4081	Frk (+425)
