# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_274	Nrde2 (-32245), Calm1 (-8251)
peak_275	Tc2n (-17557), Fbln5 (+82975)
peak_276	Lgmn (+50131), Rin3 (+106634)
peak_277	Tcl1b3 (-127640), Glrx5 (+30713)
peak_278	Vrk1 (-153496), Papola (+92527)
peak_279	Vrk1 (-67724), Papola (+178299)
peak_280	Vrk1 (+108233)
peak_281	Wdr25 (+66130), Begain (+107770)
peak_282	Ppp2r5c (-165666), Dio3 (+41125)
peak_283	Itgb8 (-113831), Macc1 (-39950)
peak_284	Chrm3 (-502419)
peak_285	Inhba (-252209), Gli3 (+295662)
peak_286	Stard3nl (+130300), Amph (+317083)
peak_287	Stard3nl (-43324), Epdr1 (+180746)
peak_288	Trim27 (+36722), Gpx5 (+76564)
peak_289	Trim27 (+54945), Gpx5 (+58341)
peak_290	Olfr1367 (-21413), Gpx6 (+13372)
peak_291	Zfp184 (-61800), Hist1h2br (+49569)
peak_292	Vmn1r188 (-36878), Hist1h2bj (+7786)
peak_293	Vmn1r205 (+9090), Vmn1r204 (+27639)
peak_294	Vmn1r223 (+21309), Zfp322a (+98661)
peak_295	Vmn1r223 (+36769), Zfp322a (+83201)
peak_296	Vmn1r223 (+50588), Zfp322a (+69382)
peak_297	Zfp322a (+59179), Vmn1r223 (+60791)
peak_298	Zfp322a (+51410), Vmn1r223 (+68560)
peak_299	Zfp322a (-31771), Abt1 (+22887)
peak_300	Foxq1 (-570401), Gm5447 (+11529)
peak_301	Prpf4b (-128399), Fam50b (+7291)
peak_302	Rreb1 (-311869), Ly86 (+169238)
peak_303	Mak (-21247), Gcm2 (+18467)
peak_304	Gmpr (-13392), Mylip (+104310)
peak_305	Gmpr (+9322), Atxn1 (+448211)
peak_306	Id4 (-33801)
peak_307	S1pr3 (-7559), Nxnl2 (+230058)
peak_308	Cks2 (-49763), Shc3 (-28385)
peak_309	Unc5a (-36963), Tspan17 (+123071)
peak_310	Hk3 (+8521), Unc5a (+63453)
peak_311	Slc34a1 (-18920), Rgs14 (+9535)
peak_312	Smad5 (-20681), Tgfbi (+72743)
peak_313	Spock1 (-159159), Klhl3 (+34994)
peak_314	Hnrnpa0 (-20233), Idnk (-8860)
peak_315	Zcchc6 (-15000), Gas1 (+338794)
peak_316	Aaed1 (-31338), Ctsl (+26842)
peak_317	Gm10139 (-201591), Zfp369 (+32273)
peak_318	2410141K09Rik (-274342), Gm10767 (-189494)
peak_319	2410141K09Rik (-366699), Gm10767 (-97137)
peak_320	2410141K09Rik (-427159), Gm10767 (-36677)
peak_321	Adcy2 (-489328), Papd7 (+44995)
peak_322	Zfp825 (-97659), Erap1 (-47939)
peak_323	Pou5f2 (+49595), Nr2f1 (+125260)
peak_324	Nr2f1 (+35832), Pou5f2 (+139023)
peak_325	Nr2f1 (-159049)
peak_326	Arrdc3 (+80402), Adgrv1 (+669342)
peak_327	Iqgap2 (-138589), Gm17190 (-51647)
peak_328	Hexb (-26631), Enc1 (-16117)
peak_329	Enc1 (+18877), Gm10260 (+500650)
peak_330	Gm10260 (-255364), Arhgef28 (+190171)
peak_331	Gm10320 (-80486), Tmem174 (+64923)
peak_332	Smim15 (-971268), Kif2a (-51107)
peak_333	Kif2a (-623808), Smim15 (-398567)
peak_334	Mier3 (+39601), Map3k1 (+83214)
peak_335	Ankrd55 (-310019), Map3k1 (-169808)
peak_336	Map3k1 (-344081), Ankrd55 (-135746)
peak_337	Gm10338 (-195988), Flnb (-26377)
peak_338	Olfr720 (-121978), Olfr31 (-14080)
peak_339	Gng2 (-55080), Saysd1 (+50854)
peak_340	Dupd1 (+28658), Kat6b (+186133)
peak_341	Zcchc24 (+13805), Ppif (+61064)
peak_342	Arhgef3 (-123048), Il17rd (+76050)
peak_343	Dcp1a (-349652), Chdh (+120937)
peak_344	Arhgap22 (+34133), Mapk8 (+196189)
peak_345	Syt15 (+14940), Fam35a (+75516)
peak_346	9230112D13Rik (-19028), Ldb3 (+46852)
peak_347	9230112D13Rik (-47055), Ldb3 (+18825)
peak_348	Fermt2 (-35945), Ddhd1 (+92035)
peak_349	Gch1 (+102019), Samd4 (+204540)
peak_350	Gm7247 (-3343)
peak_351	Sall2 (-10745), Olfr1513 (+16901)
peak_352	Lrp10 (-14880), Mmp14 (+17672)
peak_353	Prmt5 (-9809), Haus4 (+27027)
peak_354	Il17d (+18782), Eef1akmt1 (+28053)
peak_355	Arl11 (-34538), Sgcg (-16806)
peak_356	Ctsb (-46287), Defb42 (+29184)
peak_357	Pinx1 (-65183), Xkr6 (+188678)
peak_358	Zfp395 (-26223), Fbxo16 (+65835)
peak_359	Pbk (-74793), Scara5 (+64641)
peak_360	Stmn4 (-19324), Trim35 (+28020)
peak_361	Ppp2r2a (-115630), Ebf2 (-45512)
peak_362	Cdca2 (+107292), Ebf2 (+374732)
peak_363	Phyhip (+9015), Bmp1 (+53769)
peak_364	Gfra2 (-108819), Dok2 (+7007)
peak_365	Slc25a30 (-42398), Tpt1 (-15658)
