geneid	name2
ENSMUST00000168783	Inpp5d
ENSMUST00000167032	Inpp5d
ENSMUST00000170300	Inpp5d
ENSMUST00000177757	Sag
ENSMUST00000077772	Sag
ENSMUST00000040783	Usp40
ENSMUST00000187758	Usp40
ENSMUST00000113139	Ugt1a8
ENSMUST00000058237	Ugt1a7c
ENSMUST00000113138	Ugt1a6b
ENSMUST00000113135	Ugt1a7c
ENSMUST00000113137	Ugt1a6b
ENSMUST00000113134	Ugt1a6a
ENSMUST00000014263	Ugt1a6a
ENSMUST00000097659	Ugt1a5
ENSMUST00000049289	Ugt1a2
ENSMUST00000113114	Trpm8
ENSMUST00000040210	Trpm8
ENSMUST00000171176	Trpm8
ENSMUST00000186258	C030007H22Rik
ENSMUST00000027521	Agap1
ENSMUST00000190096	Agap1
ENSMUST00000074945	Agap1
ENSMUST00000186098	4933400F21Rik
ENSMUST00000113094	Iqca
ENSMUST00000212394	Iqca
ENSMUST00000056925	Col6a3
ENSMUST00000188587	Col6a3
ENSMUST00000097653	Col6a3
ENSMUST00000027529	Rab17
ENSMUST00000131428	Rab17
ENSMUST00000068116	Lrrfip1
ENSMUST00000068167	Lrrfip1
ENSMUST00000097649	Lrrfip1
ENSMUST00000097650	Lrrfip1
ENSMUST00000189617	Lrrfip1
ENSMUST00000027533	Klhl30
ENSMUST00000188800	Gm28380
ENSMUST00000097644	Hdac4
ENSMUST00000008995	Hdac4
ENSMUST00000171796	Kif1a
ENSMUST00000112958	Kif1a
ENSMUST00000190723	Kif1a
ENSMUST00000171556	Kif1a
ENSMUST00000086819	Kif1a
ENSMUST00000138595	Crocc2
ENSMUST00000170883	Hdlbp
ENSMUST00000120301	Farp2
ENSMUST00000190116	Thap4
ENSMUST00000189728	Thap4
ENSMUST00000097633	D2hgdh
ENSMUST00000112881	D2hgdh
ENSMUST00000071985	Slco4c1
ENSMUST00000027569	Slco6c1
ENSMUST00000189547	Slco6c1
ENSMUST00000053033	D1Ertd622e
ENSMUST00000153115	D1Ertd622e
ENSMUST00000149927	D1Ertd622e
ENSMUST00000112844	Gin1
ENSMUST00000027571	Gin1
ENSMUST00000058762	Pam
ENSMUST00000097625	Pam
ENSMUST00000161567	Pam
ENSMUST00000159324	B230216N24Rik
ENSMUST00000161661	B230216N24Rik
ENSMUST00000159353	B230216N24Rik
ENSMUST00000027575	Slco6d1
ENSMUST00000160796	Slco6d1
ENSMUST00000086738	Cntnap5b
ENSMUST00000187882	Gm29012
ENSMUST00000188743	Gm28403
ENSMUST00000070699	Pign
ENSMUST00000186485	Pign
ENSMUST00000187537	Pign
ENSMUST00000190811	Pign
ENSMUST00000190105	Gm20753
ENSMUST00000061047	Phlpp1
ENSMUST00000112751	Bcl2
ENSMUST00000149909	D630008O14Rik
ENSMUST00000166100	Serpinb3b
ENSMUST00000112706	Serpinb8
ENSMUST00000189363	Gm29088
ENSMUST00000180837	9330185C12Rik
ENSMUST00000186341	Gm28363
ENSMUST00000187455	Gm28360
ENSMUST00000190194	Gm28867
ENSMUST00000062483	Gli2
ENSMUST00000064091	Ptpn4
ENSMUST00000163435	Ptpn4
ENSMUST00000163621	Ptpn4
ENSMUST00000174370	Cfap221
ENSMUST00000037840	Cfap221
ENSMUST00000072886	Sctr
ENSMUST00000189037	Sctr
ENSMUST00000189555	Gm29348
ENSMUST00000181433	Celrr
ENSMUST00000185678	Celrr
ENSMUST00000036025	Ccdc93
ENSMUST00000191827	Gm37396
ENSMUST00000027580	Slc35f5
ENSMUST00000161954	Nckap5
ENSMUST00000094609	Nckap5
ENSMUST00000112583	Nckap5
ENSMUST00000162877	Nckap5
ENSMUST00000057846	Nckap5
ENSMUST00000094610	Nckap5
ENSMUST00000038361	Mgat5
ENSMUST00000194151	Gm37510
ENSMUST00000171405	Mgat5
ENSMUST00000160616	Tmem163
ENSMUST00000185560	Tmem163
ENSMUST00000112570	Ccnt2
ENSMUST00000027587	Ccnt2
ENSMUST00000086614	Zranb3
ENSMUST00000112538	Zranb3
ENSMUST00000187900	R3hdm1
ENSMUST00000036288	R3hdm1
ENSMUST00000073490	Lct
ENSMUST00000112488	Cd55b
ENSMUST00000119432	Cd55b
ENSMUST00000125681	Gm16083
ENSMUST00000188520	Gm29427
ENSMUST00000112477	Fcamr
ENSMUST00000027670	Fcamr
ENSMUST00000027688	Rassf5
ENSMUST00000112442	Rassf5
ENSMUST00000212202	Rassf5
ENSMUST00000097588	Srgap2
ENSMUST00000186543	Srgap2
ENSMUST00000191034	Gm29103
ENSMUST00000188169	Lemd1
ENSMUST00000112357	Lemd1
ENSMUST00000191418	Lemd1
ENSMUST00000045473	Tmcc2
ENSMUST00000132435	Tmcc2
ENSMUST00000086521	Cntn2
ENSMUST00000094569	Nfasc
ENSMUST00000043189	Nfasc
ENSMUST00000187861	Nfasc
ENSMUST00000163770	Nfasc
ENSMUST00000188307	Nfasc
ENSMUST00000027706	Lrrn2
ENSMUST00000187285	Plekha6
ENSMUST00000105082	Plekha6
ENSMUST00000038295	Plekha6
ENSMUST00000186917	Plekha6
ENSMUST00000049470	Tmem183a
ENSMUST00000112232	Klhl12
ENSMUST00000027725	Klhl12
ENSMUST00000116528	Klhl12
ENSMUST00000047714	Kdm5b
ENSMUST00000112198	Kdm5b
ENSMUST00000188842	Syt2
ENSMUST00000121990	Syt2
ENSMUST00000045665	Ppp1r12b
ENSMUST00000168381	Ppp1r12b
ENSMUST00000086444	Ppp1r12b
ENSMUST00000044828	Lgr6
ENSMUST00000137968	Lgr6
ENSMUST00000187985	Ptpn7
ENSMUST00000049449	Ptpn7
ENSMUST00000167080	Ptpn7
ENSMUST00000041023	Ipo9
ENSMUST00000040599	Nav1
ENSMUST00000067414	Nav1
ENSMUST00000190298	Nav1
ENSMUST00000212798	Mroh3
ENSMUST00000193724	Gm33994
ENSMUST00000181274	Platr22
ENSMUST00000182283	Ptprc
ENSMUST00000183301	Ptprc
ENSMUST00000182755	Ptprc
ENSMUST00000027643	Atp6v1g3
ENSMUST00000186017	Nek7
ENSMUST00000187407	Nek7
ENSMUST00000027642	Nek7
ENSMUST00000188729	Gm28501
ENSMUST00000190707	Gm5833
ENSMUST00000168527	Dennd1b
ENSMUST00000094505	Dennd1b
ENSMUST00000059825	Crb1
ENSMUST00000198445	Crb1
ENSMUST00000196402	Crb1
ENSMUST00000111986	Gm4788
ENSMUST00000111989	Gm4788
ENSMUST00000027612	Gm4788
ENSMUST00000194186	Cfhr2
ENSMUST00000239380	Cfhr2
ENSMUST00000094489	Cfhr2
ENSMUST00000192880	Cfh
ENSMUST00000111976	Cfh
ENSMUST00000111977	Cfh
ENSMUST00000066859	Cfh
ENSMUST00000193820	4930590L20Rik
ENSMUST00000189936	Uchl5
ENSMUST00000018333	Uchl5
ENSMUST00000188273	Gm29515
ENSMUST00000186355	Gm29398
ENSMUST00000181915	Ptgs2os
ENSMUST00000186460	2310030A07Rik
ENSMUST00000074783	Hmcn1
ENSMUST00000137197	Hmcn1
ENSMUST00000064771	Swt1
ENSMUST00000148810	Fam129a
ENSMUST00000111875	Fam129a
ENSMUST00000188145	Edem3
ENSMUST00000059498	Edem3
ENSMUST00000187951	Edem3
ENSMUST00000191070	Edem3
